peopleNum,workLocation,publishTime,positionlink,positionType,positionname
1,北京,2018-08-12,position_detail.php?id=43312&keywords=&tid=0&lid=0,设计类,24548-IP授权业务设计师
2,广州,2018-08-12,position_detail.php?id=43304&keywords=&tid=0&lid=0,技术类,WXG10-113 企业微信后台开发工程师（广州）
1,北京,2018-08-12,position_detail.php?id=43307&keywords=&tid=0&lid=0,市场类,22968-华北饮料行业销售（北京）
3,深圳,2018-08-12,position_detail.php?id=43298&keywords=&tid=0&lid=0,技术类,SNG08-微视视频推荐后台开发（深圳）
2,深圳,2018-08-12,position_detail.php?id=43300&keywords=&tid=0&lid=0,产品/项目类,SNG08-儿童教育产品用户增长与推广运营经理（深圳）
1,上海,2018-08-12,position_detail.php?id=43301&keywords=&tid=0&lid=0,技术类,25928-游戏客户端开发Leader（上海）
3,深圳,2018-08-12,position_detail.php?id=43292&keywords=&tid=0&lid=0,技术类,TEG06-应用开发高级工程师（深圳）
1,深圳,2018-08-12,position_detail.php?id=43294&keywords=&tid=0&lid=0,产品/项目类,SNG16-全民K歌商城运营（深圳）
1,北京,2018-08-12,position_detail.php?id=43295&keywords=&tid=0&lid=0,职能类,21529-投后综合管理法务（北京）
1,深圳,2018-08-12,position_detail.php?id=43296&keywords=&tid=0&lid=0,市场类,SNG03-直播平台主播运营（深圳）
2,深圳,2018-08-12,position_detail.php?id=43285&keywords=&tid=0&lid=0,市场类,23295-互娱娱乐营销市场经理
1,深圳,2018-08-12,position_detail.php?id=43288&keywords=&tid=0&lid=0,技术类,25928-腾讯游戏云前端开发高级工程师（深圳）
1,深圳,2018-08-12,position_detail.php?id=43279&keywords=&tid=0&lid=0,职能类,23677-音频制作商务经理（深圳）
1,上海,2018-08-12,position_detail.php?id=43280&keywords=&tid=0&lid=0,职能类,23677-音频制作商务经理（上海）
1,深圳,2018-08-12,position_detail.php?id=43284&keywords=&tid=0&lid=0,技术类,TEG02-海外网络运营工程师（深圳）
2,深圳,2018-08-12,position_detail.php?id=43274&keywords=&tid=0&lid=0,设计类,SNG08-社交平台部-ISUX-社交平台设计中心-交互设计师（深圳）
2,深圳,2018-08-12,position_detail.php?id=43275&keywords=&tid=0&lid=0,技术类,SNG16-腾讯音乐IOS开发工程师（深圳）
1,深圳,2018-08-12,position_detail.php?id=43277&keywords=&tid=0&lid=0,产品/项目类,18425-移动支付项目经理
1,深圳,2018-08-12,position_detail.php?id=43269&keywords=&tid=0&lid=0,设计类,SNG16-QQ音乐多媒体设计（深圳）
1,北京,2018-08-12,position_detail.php?id=43271&keywords=&tid=0&lid=0,内容编辑类,SNG16-全民K歌对外合作内容运营（北京）
1,深圳,2018-08-12,position_detail.php?id=43272&keywords=&tid=0&lid=0,产品/项目类,MIG06-智能硬件产品经理（人机交互方向）（深圳）
1,北京,2018-08-12,position_detail.php?id=43264&keywords=&tid=0&lid=0,市场类,25666-行业销售经理
1,上海,2018-08-12,position_detail.php?id=43265&keywords=&tid=0&lid=0,市场类,25666-行业销售经理
2,深圳,2018-08-12,position_detail.php?id=43262&keywords=&tid=0&lid=0,技术类,24012-Unity客户端开发工程师（深圳）
1,深圳,2018-08-12,position_detail.php?id=43254&keywords=&tid=0&lid=0,产品/项目类,21228-游戏产品运营活动策划（深圳）
1,荷兰,2018-08-12,position_detail.php?id=43255&keywords=&tid=0&lid=0,市场类,HY5-Senior Research Analyst（Holland）
1,深圳,2018-08-12,position_detail.php?id=43257&keywords=&tid=0&lid=0,技术类,MIG15-移动终端开发工程师（深圳）
1,深圳,2018-08-12,position_detail.php?id=43259&keywords=&tid=0&lid=0,产品/项目类,24491-北美区域研发运营（深圳）
1,深圳,2018-08-12,position_detail.php?id=43248&keywords=&tid=0&lid=0,设计类,23486-证券设计组长/总监（深圳）
4,北京,2018-08-12,position_detail.php?id=43250&keywords=&tid=0&lid=0,内容编辑类,22851-腾讯视频动漫社区运营
1,深圳,2018-08-12,position_detail.php?id=43241&keywords=&tid=0&lid=0,技术类,SNG17-终端开发android开发（深圳）
1,深圳,2018-08-12,position_detail.php?id=43243&keywords=&tid=0&lid=0,产品/项目类,21090-竞技类游戏社区运营经理（深圳）
1,深圳,2018-08-12,position_detail.php?id=43244&keywords=&tid=0&lid=0,设计类,MIG03-3D动画设计师
2,深圳,2018-08-12,position_detail.php?id=43234&keywords=&tid=0&lid=0,技术类,SNG17-QQ支付web前端开发工程师（深圳）
1,北京,2018-08-12,position_detail.php?id=43236&keywords=&tid=0&lid=0,市场类,21528-市场活动策划与执行（北京）
1,深圳,2018-08-12,position_detail.php?id=43237&keywords=&tid=0&lid=0,产品/项目类,21228-集换式卡牌游戏本地化策划（深圳）
1,西安,2018-08-12,position_detail.php?id=43228&keywords=&tid=0&lid=0,市场类,25666-华北区域渠道销售经理（华北、西北、东北）（北京）
1,上海,2018-08-12,position_detail.php?id=43230&keywords=&tid=0&lid=0,产品/项目类,SNG08-微视产品运营经理（上海）
1,深圳,2018-08-12,position_detail.php?id=43233&keywords=&tid=0&lid=0,产品/项目类,GY0-数据产品经理
1,深圳,2018-08-12,position_detail.php?id=43222&keywords=&tid=0&lid=0,市场类,SNG16-商业化广告功能产品策划（深圳）
